feature,importance
anciennete_jours,1850.1437093196728
MntMeatProducts,1345.2760531540262
AcceptedCmp3,1302.5954471826553
unites_total,1022.8575434598897
AcceptedCmp5,994.8985433578491
NumStorePurchases,898.6108811930753
ID,788.6877868375741
MntGoldProds,664.1950231664814
NumWebVisitsMonth,628.7851578939517
MntWines,591.2891356833279
MntFishProducts,534.0378247536719
NumCatalogPurchases,528.1466151103377
Year_Birth,496.85822679661214
Income,492.47537510469556
MntFruits,491.69722640234977
AcceptedCmp1,461.732159614563
MntSweetProducts,426.29083071649075
Teenhome,279.41619525663555
Marital_Status_Single,206.7176614999771
Education_PhD,200.1413278579712
NumWebPurchases,188.3823065785691
Marital_Status_Married,174.86249887943268
Kidhome,172.0420098118484
NumDealsPurchases,134.8006491996348
AcceptedCmp4,101.08588027954102
Marital_Status_Together,85.18366980552673
Marital_Status_Divorced,60.78470993041992
Education_Graduation,36.98783051967621
Education_Master,13.941020011901855
AcceptedCmp2,0.0
Education_Basic,0.0
Complain,0.0
Education_2n Cycle,0.0
Marital_Status_Absurd,0.0
Marital_Status_Alone,0.0
Marital_Status_Widow,0.0
Marital_Status_YOLO,0.0
